run,problem,pop,pc,pm,seconds,fitness,instance,generations,evaluations,seed
1,knap,300,0.9,0.003,8,0.428175,instances_01_KP/large_scale/knapPI_3_5000_1000_1,98,29700,12345
2,knap,300,0.9,0.003,8,0.42835,instances_01_KP/large_scale/knapPI_3_5000_1000_1,99,30000,12345
3,knap,300,0.9,0.003,8,0.42835,instances_01_KP/large_scale/knapPI_3_5000_1000_1,99,30000,12345
4,knap,300,0.9,0.006,8,0.426824,instances_01_KP/large_scale/knapPI_3_5000_1000_1,98,29700,12345
5,knap,300,0.9,0.006,8,0.426824,instances_01_KP/large_scale/knapPI_3_5000_1000_1,98,29700,12345
6,knap,300,0.9,0.006,8,0.426709,instances_01_KP/large_scale/knapPI_3_5000_1000_1,97,29400,12345
7,knap,300,0.9,0.01,8,0.424803,instances_01_KP/large_scale/knapPI_3_5000_1000_1,97,29400,12345
8,knap,300,0.9,0.01,8,0.424803,instances_01_KP/large_scale/knapPI_3_5000_1000_1,97,29400,12345
9,knap,300,0.9,0.01,8,0.424803,instances_01_KP/large_scale/knapPI_3_5000_1000_1,97,29400,12345
10,knap,600,0.9,0.003,8,0.422653,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
11,knap,600,0.9,0.003,8,0.422653,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
12,knap,600,0.9,0.003,8,0.422653,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
13,knap,600,0.9,0.006,8,0.422817,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
14,knap,600,0.9,0.006,8,0.422817,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
15,knap,600,0.9,0.006,8,0.422817,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
16,knap,600,0.9,0.01,8,0.422062,instances_01_KP/large_scale/knapPI_3_5000_1000_1,48,29400,12345
17,knap,600,0.9,0.01,8,0.422062,instances_01_KP/large_scale/knapPI_3_5000_1000_1,48,29400,12345
18,knap,600,0.9,0.01,8,0.422586,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
19,knap,600,0.7,0.006,8,0.421515,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
20,knap,600,0.7,0.006,8,0.421515,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
21,knap,600,0.7,0.006,8,0.421412,instances_01_KP/large_scale/knapPI_3_5000_1000_1,48,29400,12345
22,knap,600,0.7,0.01,8,0.421445,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
23,knap,600,0.7,0.01,8,0.421445,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
24,knap,600,0.7,0.01,8,0.421445,instances_01_KP/large_scale/knapPI_3_5000_1000_1,49,30000,12345
25,knap,900,0.9,0.006,8,0.419917,instances_01_KP/large_scale/knapPI_3_5000_1000_1,32,29700,12345
26,knap,900,0.9,0.006,8,0.420162,instances_01_KP/large_scale/knapPI_3_5000_1000_1,33,30600,12345
27,knap,900,0.9,0.006,8,0.420162,instances_01_KP/large_scale/knapPI_3_5000_1000_1,33,30600,12345
28,knap,900,0.7,0.006,8,0.419836,instances_01_KP/large_scale/knapPI_3_5000_1000_1,33,30600,12345
29,knap,900,0.7,0.006,8,0.419653,instances_01_KP/large_scale/knapPI_3_5000_1000_1,32,29700,12345
30,knap,900,0.7,0.006,8,0.419653,instances_01_KP/large_scale/knapPI_3_5000_1000_1,32,29700,12345
