run,problem,pop,pc,pm,seconds,fitness,instance,generations,evaluations,seed
1,knap,100,0.9,0.003,8,0.438037,instances_01_KP/large_scale/knapPI_3_5000_1000_1,295,29600,12345
2,knap,200,0.9,0.003,8,0.431712,instances_01_KP/large_scale/knapPI_3_5000_1000_1,145,29200,12345
3,knap,400,0.9,0.003,8,0.425487,instances_01_KP/large_scale/knapPI_3_5000_1000_1,73,29600,12345
4,knap,800,0.9,0.003,8,0.420487,instances_01_KP/large_scale/knapPI_3_5000_1000_1,36,29600,12345
5,knap,100,0.9,0.006,8,0.430214,instances_01_KP/large_scale/knapPI_3_5000_1000_1,289,29000,12345
6,knap,200,0.9,0.006,8,0.429562,instances_01_KP/large_scale/knapPI_3_5000_1000_1,145,29200,12345
7,knap,400,0.9,0.006,8,0.42584,instances_01_KP/large_scale/knapPI_3_5000_1000_1,73,29600,12345
8,knap,800,0.9,0.006,8,0.420643,instances_01_KP/large_scale/knapPI_3_5000_1000_1,37,30400,12345
9,knap,100,0.9,0.01,8,0.42495,instances_01_KP/large_scale/knapPI_3_5000_1000_1,289,29000,12345
10,knap,200,0.9,0.01,8,0.424927,instances_01_KP/large_scale/knapPI_3_5000_1000_1,145,29200,12345
11,knap,400,0.9,0.01,8,0.423759,instances_01_KP/large_scale/knapPI_3_5000_1000_1,73,29600,12345
12,knap,800,0.9,0.01,8,0.420583,instances_01_KP/large_scale/knapPI_3_5000_1000_1,36,29600,12345
13,knap,100,0.7,0.003,8,0.435602,instances_01_KP/large_scale/knapPI_3_5000_1000_1,294,29500,12345
14,knap,200,0.7,0.003,8,0.429646,instances_01_KP/large_scale/knapPI_3_5000_1000_1,147,29600,12345
15,knap,400,0.7,0.003,8,0.424216,instances_01_KP/large_scale/knapPI_3_5000_1000_1,74,30000,12345
16,knap,800,0.7,0.003,8,0.420235,instances_01_KP/large_scale/knapPI_3_5000_1000_1,37,30400,12345
17,knap,100,0.7,0.006,8,0.429312,instances_01_KP/large_scale/knapPI_3_5000_1000_1,292,29300,12345
18,knap,200,0.7,0.006,8,0.428286,instances_01_KP/large_scale/knapPI_3_5000_1000_1,145,29200,12345
19,knap,400,0.7,0.006,8,0.424892,instances_01_KP/large_scale/knapPI_3_5000_1000_1,73,29600,12345
20,knap,800,0.7,0.006,8,0.420429,instances_01_KP/large_scale/knapPI_3_5000_1000_1,36,29600,12345
21,knap,100,0.7,0.01,8,0.424186,instances_01_KP/large_scale/knapPI_3_5000_1000_1,289,29000,12345
22,knap,200,0.7,0.01,8,0.42497,instances_01_KP/large_scale/knapPI_3_5000_1000_1,143,28800,12345
23,knap,400,0.7,0.01,8,0.422889,instances_01_KP/large_scale/knapPI_3_5000_1000_1,72,29200,12345
24,knap,800,0.7,0.01,8,0.419939,instances_01_KP/large_scale/knapPI_3_5000_1000_1,37,30400,12345
