run,problem,pop,pc,pm,seconds,fitness,instance,generations,evaluations,seed,selection,crossover,mutation,elitism,pinv,uniform_swap
1,knap,200,0.9,0.01,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,315,61109,,tournament,two-point,bit-flip,4,0,0.5
2,knap,200,0.9,0.01,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,322,62470,,tournament,two-point,bit-flip,4,0,0.5
3,knap,200,0.9,0.01,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,321,62259,,tournament,two-point,bit-flip,4,0,0.5
4,knap,200,0.9,0.01,2,0.998919,instances_01_KP/large_scale/knapPI_2_200_1000_1,321,62279,,tournament,two-point,bit-flip,4,0,0.5
5,knap,200,0.9,0.01,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,320,62106,,tournament,two-point,bit-flip,4,0,0.5
6,knap,200,0.9,0.01,2,0.925921,instances_01_KP/large_scale/knapPI_2_200_1000_1,320,62070,,random-two,two-point,bit-flip,4,0,0.5
7,knap,200,0.9,0.01,2,0.920404,instances_01_KP/large_scale/knapPI_2_200_1000_1,320,62094,,random-two,two-point,bit-flip,4,0,0.5
8,knap,200,0.9,0.01,2,0.931042,instances_01_KP/large_scale/knapPI_2_200_1000_1,320,62057,,random-two,two-point,bit-flip,4,0,0.5
9,knap,200,0.9,0.01,2,0.881625,instances_01_KP/large_scale/knapPI_2_200_1000_1,318,61679,,random-two,two-point,bit-flip,4,0,0.5
10,knap,200,0.9,0.01,2,0.944167,instances_01_KP/large_scale/knapPI_2_200_1000_1,320,62052,,random-two,two-point,bit-flip,4,0,0.5
11,knap,200,0.9,0.01,2,0.688164,instances_01_KP/large_scale/knapPI_2_200_1000_1,274,53277,,roulette,two-point,bit-flip,4,0,0.5
12,knap,200,0.9,0.01,2,0.697453,instances_01_KP/large_scale/knapPI_2_200_1000_1,275,53436,,roulette,two-point,bit-flip,4,0,0.5
13,knap,200,0.9,0.01,2,0.688786,instances_01_KP/large_scale/knapPI_2_200_1000_1,274,53195,,roulette,two-point,bit-flip,4,0,0.5
14,knap,200,0.9,0.01,2,0.694418,instances_01_KP/large_scale/knapPI_2_200_1000_1,274,53146,,roulette,two-point,bit-flip,4,0,0.5
15,knap,200,0.9,0.01,2,0.689569,instances_01_KP/large_scale/knapPI_2_200_1000_1,275,53385,,roulette,two-point,bit-flip,4,0,0.5
16,knap,200,0.9,0.01,2,0.965279,instances_01_KP/large_scale/knapPI_2_200_1000_1,316,62535,,tournament,two-point,bit-flip,0,0,0.5
