selection,crossover,mutation,elitism,pinv,uniform_swap,pop,pc,pm,seconds,count,avg_fitness,best_fitness,std_fitness,avg_generations,avg_evaluations
random-two,one-point,bit-flip,4,0,0.5,200,0.9,0.01,2,5,0.904673,0.913569,0.005854,317.80,61676.60
random-two,one-point,bit-flip,4,0,0.5,200,0.9,0.05,2,5,0.688129,0.691776,0.002771,305.40,60058.20
random-two,one-point,bit-flip,4,0,0.5,200,0.9,0.1,2,5,0.671162,0.674333,0.002433,401.20,78835.20
random-two,one-point,bit-flip,4,0,0.5,200,0.9,0.2,2,5,0.656714,0.659169,0.001459,395.20,77659.20
random-two,two-point,bit-flip,0,0,0.5,200,0.9,0.01,2,5,0.779689,0.785170,0.005479,312.40,61838.00
random-two,two-point,bit-flip,4,0,0.5,200,0.9,0.01,2,5,0.920632,0.944167,0.021033,319.60,61990.40
random-two,two-point,bit-flip,4,0,0.5,200,0.9,0.05,2,5,0.686840,0.692427,0.003405,306.80,60332.60
random-two,two-point,bit-flip,4,0,0.5,200,0.9,0.1,2,5,0.671590,0.673595,0.002044,405.00,79580.00
random-two,two-point,bit-flip,4,0,0.5,200,0.9,0.2,2,5,0.657760,0.659109,0.000802,397.60,78129.60
random-two,two-point,scramble,2,0,0.4,200,0.9,0.1,2,5,0.992000,1.000000,0.007276,7391.00,1331765.80
random-two,two-point,scramble,2,0,0.4,200,0.9,0.2,2,5,0.987342,1.000000,0.015503,6515.80,1186979.60
random-two,two-point,scramble,2,0.05,0.4,200,0.9,0.1,2,5,0.999493,1.000000,0.001014,6734.80,1219428.60
random-two,two-point,scramble,2,0.05,0.4,200,0.9,0.2,2,5,0.998389,1.000000,0.003222,5888.40,1077604.00
random-two,uniform,bit-flip,4,0,0.5,200,0.9,0.01,2,5,0.872736,0.892875,0.014266,222.00,43131.60
random-two,uniform,bit-flip,4,0,0.5,200,0.9,0.05,2,5,0.681903,0.685794,0.002820,216.40,42614.40
random-two,uniform,bit-flip,4,0,0.5,200,0.9,0.1,2,5,0.668205,0.670357,0.001708,286.20,56295.20
random-two,uniform,bit-flip,4,0,0.5,200,0.9,0.2,2,5,0.654762,0.659004,0.002419,282.40,55550.40
roulette,one-point,bit-flip,4,0,0.5,200,0.9,0.01,2,5,0.692839,0.698305,0.005393,273.00,52987.40
roulette,one-point,bit-flip,4,0,0.5,200,0.9,0.05,2,5,0.667652,0.674253,0.004050,269.80,53080.60
roulette,one-point,bit-flip,4,0,0.5,200,0.9,0.1,2,5,0.661667,0.669979,0.004891,356.60,70093.60
roulette,one-point,bit-flip,4,0,0.5,200,0.9,0.2,2,5,0.650805,0.653929,0.002246,350.80,68956.80
roulette,two-point,bit-flip,0,0,0.5,200,0.9,0.01,2,5,0.648599,0.652247,0.002105,268.80,53222.60
roulette,two-point,bit-flip,4,0,0.5,200,0.9,0.01,2,5,0.691678,0.697453,0.003634,274.40,53287.80
roulette,two-point,bit-flip,4,0,0.5,200,0.9,0.05,2,5,0.669969,0.676829,0.004583,271.00,53315.80
roulette,two-point,bit-flip,4,0,0.5,200,0.9,0.1,2,5,0.662601,0.664919,0.001979,357.80,70328.80
roulette,two-point,bit-flip,4,0,0.5,200,0.9,0.2,2,5,0.653084,0.654660,0.000895,353.20,69427.20
