run,problem,pop,pc,pm,seconds,fitness,instance,generations,evaluations,seed,selection,crossover,mutation,elitism,pinv,uniform_swap
1,knap,200,0.9,0.01,2,0.934633,instances_01_KP/large_scale/knapPI_2_200_1000_1,305,60357,,tournament,one-point,bit-flip,0,0,0.5
2,knap,200,0.9,0.01,2,0.94839,instances_01_KP/large_scale/knapPI_2_200_1000_1,306,60573,,tournament,one-point,bit-flip,0,0,0.5
3,knap,200,0.9,0.01,2,0.932353,instances_01_KP/large_scale/knapPI_2_200_1000_1,307,60776,,tournament,one-point,bit-flip,0,0,0.5
4,knap,200,0.9,0.01,2,0.920103,instances_01_KP/large_scale/knapPI_2_200_1000_1,312,61757,,tournament,one-point,bit-flip,0,0,0.5
5,knap,200,0.9,0.01,2,0.922468,instances_01_KP/large_scale/knapPI_2_200_1000_1,311,61565,,tournament,one-point,bit-flip,0,0,0.5
6,knap,200,0.9,0.01,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,319,61895,,tournament,two-point,bit-flip,4,0,0.5
7,knap,200,0.9,0.01,2,0.999399,instances_01_KP/large_scale/knapPI_2_200_1000_1,313,60734,,tournament,two-point,bit-flip,4,0,0.5
8,knap,200,0.9,0.01,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,322,62504,,tournament,two-point,bit-flip,4,0,0.5
9,knap,200,0.9,0.01,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,322,62497,,tournament,two-point,bit-flip,4,0,0.5
10,knap,200,0.9,0.01,2,0.997307,instances_01_KP/large_scale/knapPI_2_200_1000_1,320,62096,,tournament,two-point,bit-flip,4,0,0.5
11,knap,200,0.9,0.1,2,0.782903,instances_01_KP/large_scale/knapPI_2_200_1000_1,483,86254,,roulette,uniform,swap,4,0,0.5
12,knap,200,0.9,0.1,2,0.798072,instances_01_KP/large_scale/knapPI_2_200_1000_1,481,86082,,roulette,uniform,swap,4,0,0.5
13,knap,200,0.9,0.1,2,0.776621,instances_01_KP/large_scale/knapPI_2_200_1000_1,481,86010,,roulette,uniform,swap,4,0,0.5
14,knap,200,0.9,0.1,2,0.7843,instances_01_KP/large_scale/knapPI_2_200_1000_1,472,84429,,roulette,uniform,swap,4,0,0.5
15,knap,200,0.9,0.1,2,0.761053,instances_01_KP/large_scale/knapPI_2_200_1000_1,470,84107,,roulette,uniform,swap,4,0,0.5
16,knap,200,0.9,0.2,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,4214,770929,,random-two,two-point,scramble,2,0.05,0.4
17,knap,200,0.9,0.2,2,0.991475,instances_01_KP/large_scale/knapPI_2_200_1000_1,4384,802033,,random-two,two-point,scramble,2,0.05,0.4
18,knap,200,0.9,0.2,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,4390,803167,,random-two,two-point,scramble,2,0.05,0.4
19,knap,200,0.9,0.2,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,4255,778077,,random-two,two-point,scramble,2,0.05,0.4
20,knap,200,0.9,0.2,2,1,instances_01_KP/large_scale/knapPI_2_200_1000_1,4230,774251,,random-two,two-point,scramble,2,0.05,0.4
